date,open,high,low,close,volume,adj_close,ma5,ma25,ma75,ma200,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_mid,bb_lower,atr14
2025-04-07,2697.0,2972.0,2688.5,2925.0,40197600,2850.53,3499.38,3952.51,3907.78,3472.74,18.26,-170.14,-41.65,-128.49,4616.73,3926.61,3236.49,246.53
2025-04-08,3235.0,3339.0,3233.0,3320.0,25158300,3235.47,3357.29,3919.26,3901.78,3471.24,33.93,-195.05,-72.33,-122.72,4644.18,3891.33,3138.48,263.81
2025-04-09,3227.0,3257.0,3135.0,3179.0,22900800,3098.06,3195.12,3880.29,3894.33,3468.9,31.6,-223.3,-102.52,-120.78,4684.67,3856.45,3028.24,253.68
2025-04-10,3660.0,3705.0,3419.0,3429.0,29326800,3341.69,3143.86,3853.02,3890.22,3468.1,39.53,-223.46,-126.71,-96.75,4686.99,3829.21,2971.43,278.91
2025-04-11,3219.0,3277.0,3145.0,3242.0,22375300,3159.46,3137.04,3814.81,3884.08,3466.18,36.15,-235.57,-148.48,-87.09,4692.8,3789.46,2886.11,273.04
2025-04-14,3252.0,3355.0,3250.0,3292.0,11725300,3208.18,3208.57,3783.0,3878.58,3464.59,37.69,-238.49,-166.48,-72.01,4679.07,3748.59,2818.11,267.5
2025-04-15,3383.0,3420.0,3340.0,3377.0,9953000,3291.02,3219.68,3757.0,3873.2,3463.53,40.31,-231.45,-179.48,-51.97,4651.02,3710.77,2770.52,263.53
2025-04-16,3430.0,3447.0,3267.0,3297.0,9707600,3213.06,3242.68,3733.7,3867.94,3462.0,38.66,-229.52,-189.49,-40.03,4608.37,3664.93,2721.49,257.56
2025-04-17,3307.0,3406.0,3285.0,3406.0,9003400,3319.28,3238.2,3711.01,3863.81,3461.13,42.13,-216.92,-194.97,-21.94,4549.98,3623.16,2696.33,252.94
2025-04-18,3451.0,3491.0,3430.0,3467.0,8735900,3378.73,3282.05,3687.98,3859.9,3460.64,44.04,-199.83,-195.94,-3.88,4458.65,3577.93,2697.22,247.14
2025-04-21,3420.0,3426.0,3357.0,3384.0,6958600,3297.84,3299.99,3658.87,3854.97,3459.66,42.01,-190.61,-194.88,4.26,4373.4,3532.93,2692.47,234.42
2025-04-22,3349.0,3375.0,3318.0,3323.0,9119600,3238.39,3289.46,3626.51,3848.81,3458.34,40.53,-185.96,-193.09,7.13,4289.56,3487.97,2686.39,223.18
2025-04-23,3450.0,3460.0,3371.0,3381.0,12598100,3294.92,3305.83,3593.11,3843.02,3457.38,42.6,-175.69,-189.61,13.92,4184.87,3444.12,2703.37,223.07
2025-04-24,3444.0,3475.0,3413.0,3454.0,10648200,3366.06,3315.19,3561.56,3838.43,3456.84,45.19,-159.97,-183.69,23.72,4048.34,3400.95,2753.56,220.0
2025-04-25,3510.0,3535.0,3459.0,3490.0,10543500,3401.14,3319.67,3526.28,3834.15,3456.52,46.47,-143.03,-175.55,32.53,3918.36,3364.4,2810.44,216.35
2025-04-28,3525.0,3570.0,3512.0,3550.0,10205500,3459.61,3352.02,3496.75,3829.57,3456.53,48.62,-123.46,-165.14,41.67,3828.06,3339.99,2851.92,212.96
2025-04-30,3550.0,3618.0,3546.0,3580.0,15239500,3488.85,3402.12,3470.8,3824.88,3456.72,49.71,-104.39,-152.99,48.59,3725.95,3317.14,2908.32,209.06
2025-05-01,3617.0,3618.0,3473.0,3514.0,11706300,3424.53,3428.04,3440.9,3819.94,3456.53,47.33,-93.39,-141.07,47.68,3604.46,3292.92,2981.38,204.49
2025-05-02,3482.0,3531.0,3385.0,3437.0,15183600,3349.49,3424.72,3405.7,3814.97,3455.92,44.65,-89.7,-130.79,41.1,3560.61,3280.49,3000.37,200.31
2025-05-07,3450.0,3520.0,3434.0,3500.0,11470100,3410.89,3426.67,3376.86,3811.36,3455.67,47.28,-80.88,-120.81,39.93,3574.0,3291.36,3008.72,198.18
2025-05-08,3488.0,3530.0,3455.0,3530.0,9482700,3440.12,3422.78,3356.55,3806.41,3455.58,48.54,-70.72,-110.79,40.07,3525.7,3320.84,3115.98,192.53
2025-05-09,3600.0,3668.0,3580.0,3668.0,16207000,3574.61,3439.93,3341.69,3803.36,3456.25,53.97,-51.23,-98.88,47.65,3566.36,3337.8,3109.24,195.06
